[-0.07634804397821426],[-0.07539277523756027],[19.11781673998877],[0.03254285454750061],[-0.10326869040727615],[-144.82230988451892]
[-0.07455730438232422],[-0.07371578365564346],[17.574590338116963],[0.03367849439382553],[-0.10416491329669952],[-146.08693931322387]
[-0.07194232940673828],[-0.07113830000162125],[16.874322122521797],[0.03515953943133354],[-0.1052774041891098],[-149.27704546225775]
[-0.0691007524728775],[-0.06792111694812775],[15.159423626868003],[0.03653782978653908],[-0.10632456094026566],[-152.25073030264574]
[-0.06804122775793076],[-0.06603554636240005],[13.724798456010895],[0.03649209067225456],[-0.10697785019874573],[-153.30949774689122]
[-0.06773913651704788],[-0.06481840461492538],[12.251333657421052],[0.036177411675453186],[-0.10752046853303909],[-153.81775858988868]
[-0.06794063746929169],[-0.06354084610939026],[10.585238115022232],[0.03495147079229355],[-0.10843253880739212],[-154.72637177755794]
[-0.06918957829475403],[-0.06041784584522247],[8.501813815571799],[0.031332798302173615],[-0.11058289557695389],[-158.5054255127434]
[-0.06883667409420013],[-0.05835513398051262],[5.83034124411473],[0.029743419960141182],[-0.1116231381893158],[-159.7946671192969]
[-0.06740251183509827],[-0.05703302100300789],[3.824298166036174],[0.02970379963517189],[-0.11289948970079422],[-161.04438263293582]
[-0.06477677077054977],[-0.05582405626773834],[2.430455797598632],[0.030830733478069305],[-0.11415094137191772],[-162.70222988669175]
[-0.05721714720129967],[-0.05312706530094147],[1.3111200200199242],[0.03515410050749779],[-0.11653192341327667],[-167.64823363629213]
[-0.05112696439027786],[-0.051831383258104324],[-1.1362531593326248],[0.03901823237538338],[-0.11833327263593674],[-168.93836185208147]
[-0.04695931077003479],[-0.05089893937110901],[-3.8773257273715265],[0.04141061753034592],[-0.11966544389724731],[-169.5535718736517]
[-0.04480363801121712],[-0.04975505918264389],[-5.083501713896422],[0.042178474366664886],[-0.12064115703105927],[-170.63308114894065]
[-0.04318380355834961],[-0.04918137192726135],[-5.902904581367503],[0.04231208562850952],[-0.12146661430597305],[-171.62764791287296]
[-0.04274630546569824],[-0.04741692543029785],[-7.114751087042823],[0.04105484113097191],[-0.1220448836684227],[-173.5215784555735]
[-0.04298308119177818],[-0.045827433466911316],[-7.6413615178383925],[0.039027031511068344],[-0.12219449132680893],[-175.30787102372716]
[-0.04298073798418045],[-0.0445714145898819],[-8.73721808848251],[0.03769785165786743],[-0.12252768874168396],[-176.34340844950955]
[-0.04065455496311188],[-0.04356859251856804],[-11.279440983633812],[0.03782757744193077],[-0.1236126720905304],[-177.01827493536484]
[-0.03691181540489197],[-0.04373513534665108],[-13.907750475955556],[0.03944573923945427],[-0.12562453746795654],[-177.40234369585443]
[-0.03326814994215965],[-0.043448977172374725],[-14.728567731412019],[0.041108693927526474],[-0.1271388977766037],[-179.5586493003143]
[-0.028286783024668694],[-0.043707557022571564],[-15.952616479590615],[0.04343176633119583],[-0.12961889803409576],[178.10493732204216]
[-0.024262776598334312],[-0.04371895268559456],[-15.729772361751255],[0.044984348118305206],[-0.1314985305070877],[175.09841338580708]
[-0.019811350852251053],[-0.043450068682432175],[-17.066807400865173],[0.04709704592823982],[-0.13328096270561218],[173.22531203237554]
[-0.015518462285399437],[-0.04381711781024933],[-19.132163692234464],[0.048942066729068756],[-0.1349974125623703],[172.4107431431075]
[-0.013071258552372456],[-0.043122753500938416],[-21.78271631444433],[0.04951139912009239],[-0.13609762489795685],[171.97621174632047]
[-0.012412483803927898],[-0.04250534251332283],[-22.620480788990783],[0.04857901111245155],[-0.13645948469638824],[171.04317035117552]
[-0.011377375572919846],[-0.04154114052653313],[-24.058012508499964],[0.047699443995952606],[-0.13669699430465698],[170.57655618528926]
[-0.010128377005457878],[-0.04219430685043335],[-25.73016539677553],[0.04800589755177498],[-0.13786186277866364],[170.24811606181413]
[-0.006792089901864529],[-0.0421360582113266],[-25.55846056710522],[0.048136088997125626],[-0.13932009041309357],[167.12157010020894]
[-0.0033443025313317776],[-0.042080413550138474],[-28.873742882354122],[0.04881322756409645],[-0.14101120829582214],[166.95091765153177]
[-0.0007206278969533741],[-0.04169182851910591],[-30.171836276342635],[0.04767955467104912],[-0.14207783341407776],[164.4433279008521]
[0.000589116825722158],[-0.04161474481225014],[-30.866047768417157],[0.04791698977351189],[-0.1428917944431305],[163.02332909463388]
[0.004158158786594868],[-0.04192651808261871],[-33.98558170354195],[0.04785873368382454],[-0.14452911913394928],[162.44653194073595]
[0.005613669753074646],[-0.04162176698446274],[-37.0257304442648],[0.047501228749752045],[-0.14594925940036774],[163.23849188525045]
[0.00538689736276865],[-0.04134473204612732],[-38.41270053241218],[0.04623386636376381],[-0.1460682898759842],[163.28373961329444]
[0.00022732524666935205],[-0.05642368271946907],[-42.00411440550704],[0.024317337200045586],[-0.1658484786748886],[150.70700272200372]
[0.002398633398115635],[-0.05685490369796753],[-44.11253361370201],[0.02425764873623848],[-0.16691340506076813],[150.4976884119857]
[0.003382108872756362],[-0.05677524209022522],[-44.74344055849651],[0.024051936343312263],[-0.1671113520860672],[150.00126633675308]
[0.0029657988343387842],[-0.05603155866265297],[-44.931931001360034],[0.02295803464949131],[-0.1666511744260788],[148.87461765330553]
[0.0038933944888412952],[-0.05521577596664429],[-45.484408510467354],[0.02203146368265152],[-0.16597889363765717],[147.60783309251676]
[0.004595136735588312],[-0.05460337921977043],[-45.94257517874627],[0.02106473594903946],[-0.1654791533946991],[146.78469068113915]
[0.006362265441566706],[-0.05330975726246834],[-46.26937690412716],[0.020484063774347305],[-0.1660744696855545],[145.5813897139166]
[0.007413747254759073],[-0.05340926721692085],[-47.44861780799157],[0.02052682265639305],[-0.16555850207805634],[145.57017391536638]
[0.008552114479243755],[-0.054057683795690536],[-49.02754518284134],[0.02063858136534691],[-0.16544771194458008],[144.85791891218466]
[0.009868325665593147],[-0.05355897918343544],[-48.44836492041876],[0.020736118778586388],[-0.16569967567920685],[143.58896809256893]
[0.011727763339877129],[-0.05434044450521469],[-50.0798492474621],[0.021794479340314865],[-0.16664786636829376],[144.6190287360622]
[0.013780099339783192],[-0.05544937029480934],[-50.5692060829143],[0.022947197780013084],[-0.16846910119056702],[142.46876126783854]
[0.019347231835126877],[-0.060384467244148254],[-51.81360027385745],[0.02492733672261238],[-0.17345237731933594],[138.84990791457219]
[0.02758907526731491],[-0.06930128484964371],[-51.2768375530055],[0.04826880246400833],[-0.18187281489372253],[149.70998066369282]
[0.032439880073070526],[-0.07384395599365234],[-51.148025116984584],[0.053396373987197876],[-0.18294662237167358],[151.31222963746066]
[0.03796759992837906],[-0.07945229858160019],[-49.33989204951993],[0.07450225949287415],[-0.1857462227344513],[159.7021672595741]
[0.04271122068166733],[-0.08467794209718704],[-47.7542243784404],[0.08666782826185226],[-0.18781620264053345],[165.36084627746303]
[0.048059362918138504],[-0.0891401544213295],[-45.74887055062508],[0.09963586181402206],[-0.18908414244651794],[169.36973342268084]
