[-0.16886362433433533],[-0.5182299017906189],[111.4205211691344],[0.11335404217243195],[0.1620611697435379],[-142.88674844677178]
[-0.17247295379638672],[-0.508371889591217],[108.5040483093054],[0.11915647983551025],[0.1646936535835266],[-142.0161917523752]
[-0.17580509185791016],[-0.49846982955932617],[105.62596646064654],[0.1252782791852951],[0.16745702922344208],[-141.02226223749338]
[-0.1785358041524887],[-0.4887102246284485],[103.01142656285386],[0.13087891042232513],[0.1699908822774887],[-139.49109364570992]
[-0.18067960441112518],[-0.4792923927307129],[100.73893092625616],[0.13587523996829987],[0.1726222187280655],[-138.19966218985422]
[-0.18255038559436798],[-0.4684743583202362],[98.4441049688792],[0.14210936427116394],[0.17585258185863495],[-136.9091277718554]
[-0.1844557374715805],[-0.455189049243927],[95.30490840685596],[0.14901790022850037],[0.17975540459156036],[-135.58897427418316]
[-0.18522346019744873],[-0.4474028944969177],[93.54880288965482],[0.15287496149539948],[0.18202830851078033],[-134.94824007717102]
[-0.18572625517845154],[-0.4377247095108032],[91.8213760055672],[0.15772640705108643],[0.18503783643245697],[-134.2438024450154]
[-0.18620261549949646],[-0.4282602369785309],[90.48375960017003],[0.16237878799438477],[0.18798524141311646],[-133.41205642573124]
[-0.18619611859321594],[-0.4113069772720337],[88.07501046487107],[0.1707337200641632],[0.19376663863658905],[-131.97926880240044]
[-0.18578468263149261],[-0.39978551864624023],[86.38323895860529],[0.17613585293293],[0.19763298332691193],[-131.20993727233082]
[-0.1854066103696823],[-0.390207976102829],[85.087309549625],[0.18096554279327393],[0.20093832910060883],[-130.31342557691315]
[-0.1848280429840088],[-0.3825640082359314],[84.36129015481956],[0.1844809502363205],[0.20360654592514038],[-129.63629215586627]
[-0.18398693203926086],[-0.3730819523334503],[83.37628941965673],[0.18951843678951263],[0.20726512372493744],[-128.65952357435015]
[-0.18261787295341492],[-0.3616076111793518],[82.25465232696672],[0.19484692811965942],[0.21117649972438812],[-127.96741502889437]
[-0.18168002367019653],[-0.3524567782878876],[81.70303783953348],[0.19852855801582336],[0.21471475064754486],[-127.81322098067085]
[-0.17990341782569885],[-0.33751893043518066],[80.92711826727317],[0.20424604415893555],[0.21955254673957825],[-127.72604437644185]
[-0.17855367064476013],[-0.32831865549087524],[80.62605069198969],[0.2077481746673584],[0.2227330356836319],[-127.57938146126465]
[-0.17608563601970673],[-0.3117879033088684],[80.10818250972004],[0.2150646597146988],[0.22886866331100464],[-127.05220395673598]
[-0.1744503229856491],[-0.300655722618103],[79.68106534366713],[0.21986718475818634],[0.23340636491775513],[-126.63833661389934]
[-0.17296327650547028],[-0.29154151678085327],[79.18687525258287],[0.22413863241672516],[0.2370084822177887],[-125.89413295662064]
[-0.1712265908718109],[-0.2823682725429535],[78.87705043452762],[0.22796973586082458],[0.24053730070590973],[-125.48130133751005]
