[-0.001950566773302853],[-0.44322213530540466],[177.66489070562915],[-0.006937974598258734],[0.13410529494285583],[-168.52924374895662]
[-0.0019468627870082855],[-0.4432053565979004],[177.6645517198093],[-0.00679425522685051],[0.13407957553863525],[-168.45076087229086]
[-0.0018337774090468884],[-0.4431779086589813],[177.5666866027988],[-0.006898022256791592],[0.13399909436702728],[-168.52497177984444]
[-0.0017796728061512113],[-0.4431404173374176],[177.55752022036896],[-0.0068681323900818825],[0.13400797545909882],[-168.48810621735322]
[-0.001737453043460846],[-0.4431525468826294],[177.55520474371576],[-0.006871741730719805],[0.1340087205171585],[-168.48744726736072]
[-0.001708779949694872],[-0.4431155323982239],[177.58900415099774],[-0.006880445405840874],[0.1339956521987915],[-168.4703619065453]
[-0.0017064521089196205],[-0.4431065618991852],[177.58975189617777],[-0.006886537652462721],[0.13400651514530182],[-168.47500488427823]
[-0.0017110116314142942],[-0.44312670826911926],[177.59674527889115],[-0.006897551938891411],[0.1338730752468109],[-168.5861175540096]
[-0.0017112704226747155],[-0.44311627745628357],[177.5924259897],[-0.0068771676160395145],[0.13400134444236755],[-168.48645595134852]
[-0.0017111535416916013],[-0.44310522079467773],[177.58413630875563],[-0.0068655116483569145],[0.13399824500083923],[-168.49249780859265]
[-0.0017126144375652075],[-0.4431021511554718],[177.58178798365574],[-0.006869208067655563],[0.1340027153491974],[-168.4922777771992]
[-0.001703482586890459],[-0.4431065022945404],[177.58657671664741],[-0.006868252996355295],[0.13400329649448395],[-168.48967872425766]
[-0.001708207419142127],[-0.4431195557117462],[177.58869443372103],[-0.006851618178188801],[0.1339356005191803],[-168.53051566914905]
[-0.0017086665611714125],[-0.44311919808387756],[177.59021673386061],[-0.006874849088490009],[0.13400571048259735],[-168.49273252147788]
[-0.0017021704697981477],[-0.44310858845710754],[177.58403883673768],[-0.006860577501356602],[0.13392871618270874],[-168.52699327107365]
[-0.0017043203115463257],[-0.44310951232910156],[177.58654114816093],[-0.006870732642710209],[0.13400207459926605],[-168.5015584868618]
[-0.0017083568964153528],[-0.4431096017360687],[177.57764792167626],[-0.006870755460113287],[0.13399682939052582],[-168.49748173040982]
[-0.0017064644489437342],[-0.44311848282814026],[177.5885232426167],[-0.006866645533591509],[0.1339987814426422],[-168.4956130866464]
[-0.0017011119052767754],[-0.44309985637664795],[177.58983925024086],[-0.006883477792143822],[0.1339050680398941],[-168.55055426741004]
