[0.4751104712486267],[1.1922550201416016],[-170.1725619589125],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47510412335395813],[1.1922506093978882],[-170.1704556477154],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4751018285751343],[1.1922553777694702],[-170.17458040076733],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4752134084701538],[1.192210078239441],[-170.22982477562155],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47510841488838196],[1.1922552585601807],[-170.17330431248308],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4751032590866089],[1.1922507286071777],[-170.14167792121648],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4751238226890564],[1.19227135181427],[-170.1670663547995],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4751248061656952],[1.1922658681869507],[-170.16883361379928],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4751236140727997],[1.1922413110733032],[-170.1647297558323],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47516611218452454],[1.192199468612671],[-170.17401246675269],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47527849674224854],[1.1921530961990356],[-170.21797397746406],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47511643171310425],[1.192265272140503],[-170.16955193221574],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47512054443359375],[1.192262887954712],[-170.16627075726774],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47512349486351013],[1.1922835111618042],[-170.16604119846863],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.4750966727733612],[1.1922730207443237],[-170.16768458331418],[-1.2095890045166016],[-0.5175477266311646],[-115.2510785118334]
[0.47518783807754517],[1.1922202110290527],[-170.21744970345097],[-1.21315598487854],[-0.5238508582115173],[-117.63489289791958]
[0.47521114349365234],[1.1922122240066528],[-170.21241828202957],[-1.212057113647461],[-0.5220664143562317],[-117.57532681536875]
[0.4754422903060913],[1.1922351121902466],[-170.20756123588313],[-1.2111746072769165],[-0.5193467736244202],[-117.83043647315806]
[0.47531670331954956],[1.1922187805175781],[-170.17526821368602],[-1.2104867696762085],[-0.5186463594436646],[-117.31491535278002]
[0.475369930267334],[1.1922320127487183],[-170.19620484993135],[-1.2110000848770142],[-0.5192311406135559],[-117.73034614628486]
[0.47526320815086365],[1.192286491394043],[-170.1999874565461],[-1.210978627204895],[-0.5192222595214844],[-117.73242468754574]
[0.4748612940311432],[1.1919212341308594],[-169.48173495965315],[-1.2109911441802979],[-0.5192442536354065],[-117.73034768421924]
[0.4746961295604706],[1.1918760538101196],[-169.29784467427018],[-1.210983395576477],[-0.5192156434059143],[-117.72657861932805]
[0.4747122824192047],[1.191892147064209],[-169.25450906120562],[-1.2109895944595337],[-0.5192457437515259],[-117.73183175656584]
[0.4750222861766815],[1.192230463027954],[-170.03522706993044],[-1.2109103202819824],[-0.5193199515342712],[-117.70023144035805]
[0.47502848505973816],[1.1922551393508911],[-170.05056026708962],[-1.2108500003814697],[-0.5193756818771362],[-117.6515103278052]
[0.47504061460494995],[1.1922589540481567],[-170.0392328296845],[-1.210910439491272],[-0.5193102359771729],[-117.70348578954562]
[0.4750506281852722],[1.1922612190246582],[-170.04331449484445],[-1.2108097076416016],[-0.5193504691123962],[-117.63597242470813]
[0.4750424921512604],[1.192244052886963],[-170.03456078174884],[-1.210893988609314],[-0.5192970037460327],[-117.70494140011117]
