[-0.3756451904773712],[0.8671136498451233],[-62.78154933182474],[-0.06278640031814575],[1.125080943107605],[-126.95886237620536]
[-0.37565308809280396],[0.867127537727356],[-62.787609458533694],[-0.06767347455024719],[1.133538842201233],[-121.7356304968229]
[-0.37563860416412354],[0.8671190142631531],[-62.80266683866166],[-0.073096863925457],[1.1398383378982544],[-117.36578705515373]
[-0.37564703822135925],[0.8671191930770874],[-62.792755067471056],[-0.07695205509662628],[1.1428078413009644],[-113.990611421588]
[-0.3756536841392517],[0.867118775844574],[-62.78551307129658],[-0.07859759032726288],[1.140900731086731],[-113.67080539484446]
[-0.37565693259239197],[0.8671061992645264],[-62.78172839925207],[-0.07775130867958069],[1.1272683143615723],[-121.54451762925055]
[-0.37565773725509644],[0.8671215772628784],[-62.78535073624756],[-0.07642614841461182],[1.1182488203048706],[-127.20392267701897]
[-0.37563833594322205],[0.8671116232872009],[-62.79410624998817],[-0.07527776807546616],[1.1057636737823486],[-134.97789056587533]
[-0.37564507126808167],[0.8671062588691711],[-62.79827182056547],[-0.07608721405267715],[1.095504879951477],[-140.4621279302913]
[-0.37563470005989075],[0.867107629776001],[-62.79641573420676],[-0.07968100160360336],[1.0831372737884521],[-146.5312776966169]
[-0.3756432831287384],[0.8671019077301025],[-62.79780037792069],[-0.08459653705358505],[1.065111756324768],[-150.95598731965111]
[-0.3756549656391144],[0.8671166896820068],[-62.784565327502335],[-0.08759797364473343],[1.0518879890441895],[-158.30139914624257]
[-0.37563344836235046],[0.8671103119850159],[-62.795760093746594],[-0.09223154932260513],[1.0390733480453491],[-164.81846790773207]
[-0.3756309151649475],[0.8671131730079651],[-62.79576068756273],[-0.09534395486116409],[1.0333153009414673],[-168.72731340820712]
[-0.3756542503833771],[0.8671197891235352],[-62.780689080398474],[-0.09612863510847092],[1.0295923948287964],[-172.68716881680095]
[-0.3756541907787323],[0.8671222925186157],[-62.78554174045135],[-0.09351010620594025],[1.032774567604065],[-171.86586336701973]
[-0.3756503760814667],[0.8670979738235474],[-62.78237409194459],[-0.08605057746171951],[1.042462944984436],[-164.93301312577978]
[-0.37564152479171753],[0.8671203255653381],[-62.78833905269357],[-0.07963839918375015],[1.0521880388259888],[-159.10431563448358]
[-0.37564849853515625],[0.8671135902404785],[-62.78260677172055],[-0.06947271525859833],[1.070184350013733],[-151.7213107729691]
[-0.3756551146507263],[0.8671290278434753],[-62.78081727980629],[-0.06307078152894974],[1.084226131439209],[-147.56791312617275]
[-0.37565702199935913],[0.867114245891571],[-62.77859233171748],[-0.05508601292967796],[1.1039526462554932],[-142.87889490595936]
[-0.3756626546382904],[0.867112398147583],[-62.77856144470633],[-0.04611663147807121],[1.1306973695755005],[-136.49986063192958]
[-0.3756454288959503],[0.8671008944511414],[-62.797383528090386],[-0.04124058037996292],[1.1493726968765259],[-131.6623572405806]
[-0.37567079067230225],[0.8671066164970398],[-62.77443968413954],[-0.03616403788328171],[1.1725997924804688],[-125.34731712831659]
[-0.37566548585891724],[0.8671048879623413],[-62.78029474753922],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.37566202878952026],[0.867112934589386],[-62.78276971747969],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.3756698668003082],[0.8671150207519531],[-62.77325346582501],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.37564799189567566],[0.8671165704727173],[-62.7799116473112],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.37564679980278015],[0.8671131730079651],[-62.782798953696556],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.37565314769744873],[0.8671107888221741],[-62.78126898578947],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.37566015124320984],[0.8671130537986755],[-62.78279886170311],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.3756389021873474],[0.8671161532402039],[-62.7976712495117],[-0.03278445824980736],[1.198451280593872],[-119.90154019679188]
[-0.37566205859184265],[0.8671074509620667],[-62.77965515085064],[-0.034295227378606796],[1.2112621068954468],[-117.05607785906714]
[-0.3756556510925293],[0.8671045303344727],[-62.78406718575229],[-0.037752605974674225],[1.1886613368988037],[-121.72556067261644]
[-0.3756471872329712],[0.8671220541000366],[-62.78563459625682],[-0.0485234372317791],[1.1479973793029785],[-130.3787140689925]
[-0.37565702199935913],[0.8671110272407532],[-62.78460176276958],[-0.05841774120926857],[1.1206209659576416],[-136.1749186409243]
[-0.3756367564201355],[0.8671156764030457],[-62.79656755626022],[-0.07066436856985092],[1.0923844575881958],[-142.91949535768023]
[-0.3756440579891205],[0.8671002388000488],[-62.7958625940718],[-0.08274250477552414],[1.069940447807312],[-148.64404755262188]
[-0.37567466497421265],[0.86713045835495],[-62.7854556130142],[-0.12372172623872757],[1.011631965637207],[-166.40330826793547]
[-0.3756694495677948],[0.8671260476112366],[-62.78357616267028],[-0.13920629024505615],[0.9947932362556458],[-172.8507721778304]
[-0.3756735324859619],[0.8671178817749023],[-62.77834107183118],[-0.15080685913562775],[0.9835147857666016],[-177.45615192882238]
[-0.3756624162197113],[0.8671104907989502],[-62.78059504847909],[-0.15729668736457825],[0.9783726930618286],[-179.63298057352713]
[-0.3756433129310608],[0.8671059012413025],[-62.79748015452362],[-0.15718984603881836],[0.9786518812179565],[-179.6489452425954]
[-0.37565091252326965],[0.8671074509620667],[-62.77883842712497],[-0.15289930999279022],[0.9826111793518066],[-177.46640112047837]
[-0.37565112113952637],[0.8671090602874756],[-62.77944703302958],[-0.14461180567741394],[0.9902610182762146],[-171.42443566655984]
[-0.37565189599990845],[0.8671284317970276],[-62.78690148681163],[-0.13510000705718994],[0.9986565113067627],[-167.73029260137136]
[-0.3756465017795563],[0.8671265840530396],[-62.78601022045032],[-0.12513214349746704],[1.009477138519287],[-166.1949118577619]
[-0.3756537139415741],[0.8671262264251709],[-62.782034506749916],[-0.1120426133275032],[1.0226995944976807],[-163.05209853533853]
[-0.37561655044555664],[0.8671104907989502],[-62.79688412680082],[-0.095831960439682],[1.0413696765899658],[-158.71430926731435]
[-0.3756171464920044],[0.8671099543571472],[-62.798043101254876],[-0.08082404732704163],[1.0608457326889038],[-155.2545639574507]
[-0.3756433129310608],[0.867114245891571],[-62.7819838320548],[-0.06926104426383972],[1.0783190727233887],[-152.61052537310013]
[-0.37564727663993835],[0.867129385471344],[-62.78577403287902],[-0.05899989604949951],[1.0971096754074097],[-148.45585945927843]
[-0.375640332698822],[0.8671174645423889],[-62.79218861723597],[-0.05001696199178696],[1.1168400049209595],[-144.06735358891464]
[-0.3756510317325592],[0.8671098947525024],[-62.779989491029895],[-0.04155206307768822],[1.1404739618301392],[-138.49337566266345]
[-0.3756639063358307],[0.8671087026596069],[-62.77594131706893],[-0.03613705188035965],[1.1636736392974854],[-133.6090799372482]
[-0.37564536929130554],[0.8671060800552368],[-62.78042830344343],[-0.03386018052697182],[1.1783944368362427],[-130.3335137335475]
[-0.3756524920463562],[0.8671073913574219],[-62.7797831539481],[-0.032757896929979324],[1.1926952600479126],[-127.56199668473546]
[-0.37565574049949646],[0.8671138286590576],[-62.78237491345813],[-0.03291337564587593],[1.209463357925415],[-124.30975437311771]
[-0.3756641745567322],[0.8671131730079651],[-62.78037515494869],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
[-0.3756692707538605],[0.867112934589386],[-62.78287125715658],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
