[0.39673393964767456],[1.45100998878479],[78.20280056293257],[0.8046689629554749],[-1.1287661790847778],[-24.634801592898675]
[0.3961084485054016],[1.4455461502075195],[75.21381497489875],[0.812549889087677],[-1.1324219703674316],[-24.522121856465223]
[0.3943241238594055],[1.4396690130233765],[72.59469899561503],[0.8206708431243896],[-1.1360684633255005],[-24.46556107941857]
[0.3926486074924469],[1.4340698719024658],[70.29839978595876],[0.8285812735557556],[-1.1396867036819458],[-24.700063874491555]
[0.389759361743927],[1.4262065887451172],[67.3166900970221],[0.8400701284408569],[-1.1447793245315552],[-24.666500648097152]
[0.3869583308696747],[1.4207056760787964],[65.64391800575164],[0.8482236862182617],[-1.1481730937957764],[-24.64400527223404]
[0.384577214717865],[1.4160890579223633],[64.1672288592346],[0.854208767414093],[-1.151280403137207],[-24.396618436405028]
[0.38125577569007874],[1.4104136228561401],[62.640844820555934],[0.8622565865516663],[-1.1548056602478027],[-24.225801350844378]
[0.3778148591518402],[1.4051140546798706],[61.26048616480467],[0.8705403804779053],[-1.1583071947097778],[-24.472483127739103]
[0.37464019656181335],[1.4000585079193115],[60.02297943848922],[0.8787596821784973],[-1.1620714664459229],[-25.062390739751795]
[0.3721531331539154],[1.3954269886016846],[58.24549394756706],[0.8869196176528931],[-1.1658368110656738],[-25.571772657402537]
[0.3690171539783478],[1.3907358646392822],[56.55255990308335],[0.8946734666824341],[-1.1695616245269775],[-26.204431392004533]
[0.3656659424304962],[1.3865448236465454],[55.05079849676349],[0.9024497866630554],[-1.1733630895614624],[-26.582870568705694]
[0.36087849736213684],[1.3809460401535034],[53.597539328632976],[0.9115633368492126],[-1.1779820919036865],[-26.793466794203074]
[0.35682249069213867],[1.3763843774795532],[52.775736415538745],[0.9193289875984192],[-1.1817467212677002],[-27.017874933910708]
[0.3525763154029846],[1.3718137741088867],[52.170753668727045],[0.9270617365837097],[-1.1856880187988281],[-27.354737402669773]
[0.34363266825675964],[1.3629426956176758],[51.458253013051916],[0.9425864815711975],[-1.193724513053894],[-27.706653540387453]
[0.33928385376930237],[1.3586816787719727],[51.182243436876234],[0.950421154499054],[-1.1979031562805176],[-27.566313867363238]
[0.3325805366039276],[1.351751685142517],[50.493057702247576],[0.962845504283905],[-1.2042853832244873],[-28.214872662779413]
[0.3291530907154083],[1.348427414894104],[50.29089073185135],[0.9694451093673706],[-1.2075231075286865],[-28.989783143006285]
[0.32442706823349],[1.3442559242248535],[50.54229382330259],[0.9768424034118652],[-1.2117562294006348],[-29.488379751633047]
[0.3196314871311188],[1.340137243270874],[51.257449059842465],[0.9841575026512146],[-1.216119647026062],[-29.742722967080265]
[0.31028786301612854],[1.3323757648468018],[52.849864706401185],[0.9973257184028625],[-1.2233463525772095],[-29.39220188686986]
[0.3055071234703064],[1.3277108669281006],[53.566493295568925],[1.004173994064331],[-1.2275465726852417],[-29.50057676052471]
[0.3010169267654419],[1.3233582973480225],[54.15015167494389],[1.0116639137268066],[-1.2313646078109741],[-29.615338334441205]
[0.2973332107067108],[1.3199516534805298],[54.63605746924912],[1.0173357725143433],[-1.2346433401107788],[-29.69302443017181]
[0.2935771644115448],[1.3159440755844116],[55.09117949638169],[1.0246409177780151],[-1.2385826110839844],[-29.563766272332234]
[0.2891627252101898],[1.311950922012329],[55.636746720406805],[1.0314797163009644],[-1.2425559759140015],[-29.466437747533707]
[0.2858057916164398],[1.3083487749099731],[56.45185962984623],[1.037283182144165],[-1.2456748485565186],[-29.184642293914226]
[0.2805975675582886],[1.3028898239135742],[57.54383659069279],[1.0461229085922241],[-1.2504631280899048],[-29.335784468902524]
[0.2749069631099701],[1.2968741655349731],[59.39090325356287],[1.0548169612884521],[-1.2553682327270508],[-29.712588786884577]
[0.26803335547447205],[1.2894283533096313],[61.86766323327099],[1.0649830102920532],[-1.261526107788086],[-29.815161593663802]
[0.2621344029903412],[1.282554268836975],[64.23006435617258],[1.0753024816513062],[-1.266926884651184],[-29.606775006239044]
[0.25825557112693787],[1.277705430984497],[65.73354539891498],[1.0824453830718994],[-1.270761251449585],[-29.416073982494222]
[0.2546737492084503],[1.2726986408233643],[67.18054946641293],[1.0895780324935913],[-1.2750418186187744],[-29.49855965691077]
