[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553714394569397],[0.9697728753089905],[-135.46808340182764]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955371081829071],[0.96977698802948],[-135.47256836870565]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553717374801636],[0.969781756401062],[-135.4701125489611]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553791284561157],[0.9697691202163696],[-135.46620021203267]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553601741790771],[0.9697867035865784],[-135.47517727531294]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554083347320557],[0.9697656631469727],[-135.4982478384122]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553819298744202],[0.9697646498680115],[-135.46622520057718]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553729295730591],[0.9697806239128113],[-135.46701942742217]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554271101951599],[0.9697433114051819],[-135.48540635918738]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553757309913635],[0.9697770476341248],[-135.46732192291114]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955376386642456],[0.9697756171226501],[-135.4662380293187]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553780555725098],[0.9697723388671875],[-135.4657537010962]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955377459526062],[0.9697669744491577],[-135.46611190219136]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553810954093933],[0.9697676301002502],[-135.46791317222474]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955376148223877],[0.9697680473327637],[-135.4662098840835]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553828835487366],[0.9697778820991516],[-135.46514795886984]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553720355033875],[0.969781219959259],[-135.46908024154587]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553680419921875],[0.9697779417037964],[-135.46805904647147]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553687572479248],[0.9697776436805725],[-135.4709614592903]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553655982017517],[0.9697790145874023],[-135.4656621680091]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553701281547546],[0.9697723388671875],[-135.46679560802733]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553698897361755],[0.9697551727294922],[-135.44658164268247]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955369234085083],[0.9697756767272949],[-135.4708553515122]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553707838058472],[0.9697739481925964],[-135.46453360575146]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955380916595459],[0.9697703719139099],[-135.46785556244882]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553765058517456],[0.9697746634483337],[-135.46483054337256]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553819894790649],[0.9697712659835815],[-135.46628281014995]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553515315055847],[0.9697848558425903],[-135.47919024683344]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553853273391724],[0.9697713255882263],[-135.46914460661532]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553699493408203],[0.9697742462158203],[-135.46395958010902]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553754925727844],[0.9697729349136353],[-135.4712864999275]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553551077842712],[0.9697693586349487],[-135.44845080038596]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553710222244263],[0.9697747230529785],[-135.4627376266755]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553692936897278],[0.9697677493095398],[-135.46356263693391]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553669095039368],[0.9697717428207397],[-135.46651468863345]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553730487823486],[0.9697714447975159],[-135.46823389451436]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553765654563904],[0.9697722792625427],[-135.4695203791363]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553687572479248],[0.9697767496109009],[-135.46726929867083]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553808569908142],[0.9697726368904114],[-135.47412619385815]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553728103637695],[0.9697693586349487],[-135.4711238824203]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553636908531189],[0.969756543636322],[-135.44641771313297]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553781747817993],[0.9697693586349487],[-135.46393284327186]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553763270378113],[0.9697712659835815],[-135.46611458929243]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553732872009277],[0.9697701334953308],[-135.47037453583687]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553714394569397],[0.9697710275650024],[-135.47016212804772]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553762674331665],[0.969771146774292],[-135.4650550796947]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553734064102173],[0.969772458076477],[-135.46660760769353]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553725719451904],[0.9697738885879517],[-135.46831076192936]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553732872009277],[0.9697718620300293],[-135.46669076652444]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554341435432434],[0.9697335362434387],[-135.48951386571284]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553765654563904],[0.9697704911231995],[-135.46357731241875]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553679823875427],[0.9697763323783875],[-135.46613456243384]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553832411766052],[0.9697709679603577],[-135.46782933121747]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553838968276978],[0.9697738289833069],[-135.46824179368747]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553844928741455],[0.9697703719139099],[-135.46934190225497]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554361701011658],[0.969733476638794],[-135.48479679523797]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553821086883545],[0.9697743058204651],[-135.46502673178898]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553825855255127],[0.9697755575180054],[-135.46760762517016]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955377459526062],[0.9697719216346741],[-135.4692097703882]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553714990615845],[0.9697790145874023],[-135.46848716595727]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553652405738831],[0.9697816967964172],[-135.46827654954964]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553819298744202],[0.9697740077972412],[-135.46665872772684]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553616046905518],[0.9697638750076294],[-135.44974504453532]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553766846656799],[0.9697732925415039],[-135.467368094694]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955374538898468],[0.9697720408439636],[-135.4627786508432]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553555250167847],[0.9697823524475098],[-135.4772409779165]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553707242012024],[0.9697530269622803],[-135.44718869317842]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553834199905396],[0.96976238489151],[-135.46723013104872]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553576111793518],[0.9698078036308289],[-135.47958406741776]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553776979446411],[0.9697743058204651],[-135.4690641898059]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554170370101929],[0.9697515964508057],[-135.49741568473806]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955374002456665],[0.9697725772857666],[-135.467916156967]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553741216659546],[0.9697678685188293],[-135.47021223532852]
