[0.49876219034194946],[1.3989263772964478],[148.6270447543551],[-0.83234703540802],[-0.3041765093803406],[75.46698743416303]
[0.4983742833137512],[1.3993700742721558],[148.47177003708669],[-0.8323270082473755],[-0.3041518032550812],[75.47144163544517]
[0.4988040626049042],[1.3990143537521362],[148.63585648828507],[-0.8323771357536316],[-0.3041963279247284],[75.47051787318766]
[0.4986201524734497],[1.39894437789917],[148.52721020554125],[-0.8323673009872437],[-0.30420511960983276],[75.46668208320732]
[0.49852240085601807],[1.39915132522583],[148.3663335966572],[-0.8323636054992676],[-0.3041995167732239],[75.47291722961087]
[0.49875590205192566],[1.3990631103515625],[148.56513083335508],[-0.8322420716285706],[-0.3034304678440094],[74.73767878315337]
[0.49867814779281616],[1.3992526531219482],[148.43787932138264],[-0.8288748264312744],[-0.2948991358280182],[66.3385777460609]
[0.49875420331954956],[1.3992059230804443],[148.4515569501052],[-0.8068752884864807],[-0.26591816544532776],[40.29814174853391]
[0.4985939562320709],[1.3992586135864258],[148.37255280343044],[-0.7954692244529724],[-0.2573900818824768],[32.77639600382415]
[0.4985898733139038],[1.39926278591156],[148.35927918046949],[-0.7818374037742615],[-0.2501601576805115],[25.379334329798407]
[0.4985937774181366],[1.3992897272109985],[148.2721981975838],[-0.7139958143234253],[-0.24248477816581726],[-6.892178996373042]
[0.4993724226951599],[1.3992791175842285],[145.93889290567805],[-0.6569193601608276],[-0.25628557801246643],[-19.215693807911858]
[0.5030867457389832],[1.398997187614441],[139.24407554610605],[-0.6480011940002441],[-0.259542852640152],[-20.74666485978466]
[0.5114505887031555],[1.3967807292938232],[121.84228605525288],[-0.6342673301696777],[-0.2649976313114166],[-22.870602389764564]
[0.5182231068611145],[1.3923871517181396],[106.81980881601625],[-0.6226069331169128],[-0.26981717348098755],[-23.625849717834082]
[0.5261962413787842],[1.3789209127426147],[79.77826641216485],[-0.5915766954421997],[-0.28404858708381653],[-26.55561581252037]
[0.5260541439056396],[1.3728097677230835],[74.24366140942932],[-0.581696629524231],[-0.2889130413532257],[-27.47157897385109]
[0.5255844593048096],[1.3687713146209717],[69.99231422274055],[-0.5751144886016846],[-0.29235774278640747],[-28.064391672876628]
[0.5247370600700378],[1.3633017539978027],[64.40839436009855],[-0.5671977996826172],[-0.2965172231197357],[-28.26447582519936]
[0.5235123038291931],[1.3592908382415771],[59.644275333631],[-0.5610491633415222],[-0.2997945547103882],[-28.50175022439383]
[0.5220677852630615],[1.354465365409851],[54.088982346085],[-0.55357825756073],[-0.30376651883125305],[-28.563603914308974]
[0.5206462740898132],[1.3507760763168335],[49.67788034284502],[-0.5474082231521606],[-0.30701330304145813],[-28.545503211649304]
[0.5173323154449463],[1.3454135656356812],[44.12450665914772],[-0.5380585193634033],[-0.3118774890899658],[-28.34275814822289]
[0.5133711099624634],[1.3406907320022583],[38.852052004425616],[-0.5286590456962585],[-0.3168386220932007],[-28.243563093928227]
[0.5076895952224731],[1.3352524042129517],[32.18828538987683],[-0.5160350799560547],[-0.3235929608345032],[-28.127258404735166]
[0.5032129883766174],[1.3319461345672607],[28.699602726213353],[-0.5083714127540588],[-0.32758376002311707],[-27.995287099305568]
[0.49649038910865784],[1.3281954526901245],[23.721529263027694],[-0.49738842248916626],[-0.33335331082344055],[-27.98422762393295]
[0.490724116563797],[1.3254749774932861],[19.83686614285227],[-0.48767906427383423],[-0.3383103013038635],[-28.143341736661643]
[0.484648734331131],[1.3234891891479492],[16.581465898599532],[-0.47805413603782654],[-0.3434118330478668],[-28.427731601827585]
[0.4794754385948181],[1.321988582611084],[13.996897879466731],[-0.47019651532173157],[-0.34761685132980347],[-28.317831957640774]
[0.4708295464515686],[1.3202074766159058],[10.483571792207785],[-0.45776012539863586],[-0.3540979027748108],[-28.230509338931224]
[0.4663912355899811],[1.3195085525512695],[9.119466882845302],[-0.4515354037284851],[-0.35743531584739685],[-28.393527806685885]
